 NumResultRows,No. of columns in output view,TableAccessCount,Joins,Sorting,Aggregation,Clause, TotalIOCount, AMPCPUTime, ParserCPUTime, MaxAMPCPUTime, MaxAmpIO, SpoolUsage, AMPCPUTimeNorm, ParserCPUTimeNorm, MaxAMPCPUTimeNorm,MaxCPUAmpNumberNorm, SeqRespTime, ReqIOKB, ReqPhysIO, ReqPhysIOKB
7,3,2,0,1,1,1,"3,868",2.92,0,1.464,"1,951","3,003,392",68.415,0,34.301,1,3.46,"505,412","2,635","384,570"
42,2,2,1,1,0,0,"4,068",4.364,0.06,2.2,"2,070","36,841,472",102.248,1.405,51.546,1,4.95,"515,109","2,553","343,963"
7,3,2,0,1,1,1,"3,915",2.912,0,1.46,"1,970","3,003,392",68.227,0,34.207,0,3.31,"511,244","2,577","377,401"
42,2,2,1,1,0,0,"4,106",4.336,0.06,2.18,"2,069","36,841,472",101.592,1.405,51.077,1,4.91,"513,649","2,602","349,394"
7,3,2,0,1,1,1,"3,850",2.924,0,1.464,"1,933","3,003,392",68.508,0,34.301,1,3.45,"503,446","2,676","389,803"
42,2,2,1,1,0,0,"4,108",4.34,0,2.188,"2,060","36,841,472",101.685,0,51.264,0,4.98,"513,381","2,611","350,440"
7,3,2,0,1,1,1,"3,817",2.976,0,1.488,"1,938","3,003,392",69.726,0,34.863,1,3.5,"503,077","2,675","389,435"
42,2,2,1,1,0,0,"4,020",4.344,0,2.18,"2,028","36,841,472",101.779,0,51.077,1,4.93,"508,446","2,594","349,390"
7,3,2,0,1,1,1,"3,845",2.976,0,1.5,"1,966","3,003,392",69.727,0,35.145,1,3.48,"503,065","2,675","389,429"
42,2,2,1,1,0,0,"4,021",4.352,0,2.18,"2,028","36,841,472",101.966,0,51.077,0,4.94,"508,316","2,594","349,231"
7,3,2,0,1,1,1,"3,867",3.304,0,1.656,"1,966","3,003,392",77.412,0,38.8,0,3.67,"504,959","2,637","384,557"
42,2,2,1,1,0,0,"4,028",4.264,0,2.148,"2,028","36,841,472",99.904,0,50.327,1,4.88,"509,243","2,607","350,566"
7,3,2,0,1,1,1,"3,845",3.008,0,1.508,"1,966","3,003,392",70.477,0,35.332,1,3.51,"503,059","2,674","389,388"
42,2,2,1,1,0,0,"4,059",4.404,0,2.212,"2,046","36,841,472",103.185,0,51.827,1,5.21,"507,827","2,601","349,710"
7,3,2,0,1,1,1,"3,862",2.928,0,1.468,"1,945","3,003,392",68.602,0,34.395,0,3.37,"504,988","2,638","384,555"
42,2,2,1,1,0,0,"4,013",4.268,0,2.156,"2,014","36,841,472",99.999,0,50.515,1,4.85,"508,197","2,599","349,964"
7,3,2,0,1,1,1,"3,864",2.972,0,1.504,"1,945","3,003,392",69.633,0,35.238,1,3.43,"504,366","2,636","383,358"
42,2,2,1,1,0,0,"4,013",4.348,0,2.196,"2,018","36,841,472",101.873,0,51.452,1,4.93,"507,347","2,610","350,251"
7,3,2,0,1,1,1,"3,861",2.944,0,1.476,"1,933","3,003,392",68.977,0,34.582,0,3.34,"504,679","2,637","384,051"
42,2,2,1,1,0,0,"4,002",4.312,0,2.156,"2,010","36,841,472",101.03,0,50.515,1,4.94,"505,394","2,609","349,711"
7,3,2,0,1,1,1,"3,850",3.004,0,1.504,"1,933","3,003,392",70.383,0,35.238,0,3.54,"503,073","2,674","389,361"
42,2,2,1,1,0,0,"4,081",4.412,0,2.232,"2,051","36,841,472",103.372,0,52.295,1,5.01,"518,798","2,611","352,571"
7,3,2,0,1,1,1,"3,845",2.908,0,1.456,"1,928","3,003,392",68.134,0,34.114,0,3.5,"503,194","2,674","389,491"
42,2,2,1,1,0,0,"4,003",4.32,0,2.172,"2,037","36,841,472",101.216,0,50.889,1,4.94,"505,392","2,610","349,711"
7,3,2,0,1,1,1,"3,868",2.952,0,1.476,"1,966","3,003,392",69.164,0,34.582,1,3.41,"505,417","2,633","384,447"
1,1,2,0,1,1,1,"7,281",1.684,0,0.852,"3,657","5,443,072",39.455,0,19.962,1,4.15,"898,960","6,914","870,390"
7,3,2,0,1,1,1,"3,850",2.92,0,1.46,"1,966","3,003,392",68.414,0,34.207,1,3.36,"503,063","2,674","389,386"
1,1,2,0,1,1,1,"7,293",1.68,0,0.852,"3,665","5,443,072",39.362,0,19.962,1,4.14,"899,722","6,914","870,390"
7,3,2,0,1,1,1,"3,867",2.948,0,1.476,"1,966","3,003,392",69.07,0,34.582,1,3.3,"504,974","2,636","384,524"
186,2,1,0,0,0,1,"9,804",2.256,0.084,1.132,"4,998","28,292,096",52.857,1.968,26.522,1,5.32,"1,158,396","8,400","1,044,080"
7,3,2,0,1,1,1,"3,850",2.968,0,1.488,"1,966","3,003,392",69.539,0,34.863,1,3.5,"503,103","2,675","389,427"
186,2,1,0,0,0,1,"9,826",2.232,0.084,1.124,"4,958","28,292,096",52.295,1.968,26.335,0,5.3,"1,160,313","8,388","1,043,377"
7,3,2,0,1,1,1,"3,862",2.924,0,1.464,"1,945","3,003,392",68.508,0,34.301,1,3.45,"504,961","2,637","384,523"
